STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE,ID_COUNTY
1,89,Madison,Alabama,334811,34.746392,-86.613232,1_89
1,91,Marengo,Alabama,21027,32.340479,-87.800648,1_91
1,93,Marion,Alabama,30776,34.111797,-87.874300,1_93
1,95,Marshall,Alabama,93019,34.311974,-86.293279,1_95
1,97,Mobile,Alabama,412992,30.683993,-88.170637,1_97
1,99,Monroe,Alabama,23068,31.505611,-87.360894,1_99
1,101,Montgomery,Alabama,229363,32.346175,-86.243797,1_101
1,103,Morgan,Alabama,119490,34.514252,-86.930781,1_103
1,105,Perry,Alabama,10591,32.581066,-87.369219,1_105
1,107,Pickens,Alabama,19746,33.292973,-88.066472,1_107
1,109,Pike,Alabama,32899,31.787277,-85.948647,1_109
1,111,Randolph,Alabama,22913,33.257607,-85.427266,1_111
1,113,Russell,Alabama,52947,32.421972,-85.062843,1_113
1,115,St. Clair,Alabama,83593,33.660628,-86.369107,1_115
1,117,Shelby,Alabama,195085,33.290719,-86.737978,1_117
1,119,Sumter,Alabama,13763,32.574420,-88.232646,1_119
1,121,Talladega,Alabama,82291,33.372083,-86.169238,1_121
1,123,Tallapoosa,Alabama,41616,32.853060,-85.864503,1_123
1,125,Tuscaloosa,Alabama,194656,33.214154,-87.520229,1_125
1,127,Walker,Alabama,67023,33.834858,-87.253922,1_127
1,129,Washington,Alabama,17581,31.410368,-88.186120,1_129
1,131,Wilcox,Alabama,11670,31.999753,-87.380407,1_131
1,133,Winston,Alabama,24484,34.163824,-87.415693,1_133
2,13,Aleutians East,Alaska,3141,54.860151,-162.901536,2_13
2,16,Aleutians West,Alaska,5561,54.023571,-168.292885,2_16
2,20,Anchorage,Alaska,291826,61.192232,-149.793182,2_20
2,50,Bethel,Alaska,17013,60.679946,-162.151263,2_50
2,60,Bristol Bay,Alaska,997,58.735464,-156.834047,2_60
2,68,Denali,Alaska,1826,63.882845,-149.032949,2_68
2,70,Dillingham,Alaska,4847,59.136256,-158.718472,2_70
2,90,Fairbanks North Star,Alaska,97581,64.831552,-147.624018,2_90
2,100,Haines,Alaska,2508,59.264125,-135.559897,2_100
2,105,Hoonah-Angoon,Alaska,2150,58.078282,-135.384163,2_105
2,110,Juneau,Alaska,31275,58.358516,-134.530605,2_110
2,122,Kenai Peninsula,Alaska,55400,60.292592,-151.064475,2_122
2,130,Ketchikan Gateway,Alaska,13477,55.367858,-131.678527,2_130
2,150,Kodiak Island,Alaska,13592,57.779137,-152.460881,2_150
2,164,Lake and Peninsula,Alaska,1631,58.557351,-156.371652,2_164
2,170,Matanuska-Susitna,Alaska,88995,61.611281,-149.421961,2_170
2,180,Nome,Alaska,9492,64.457026,-165.295491,2_180
2,185,North Slope,Alaska,9430,70.522779,-154.862085,2_185
2,188,Northwest Arctic,Alaska,7523,66.943735,-161.638185,2_188
2,195,Petersburg,Alaska,3815,56.812712,-133.115025,2_195
2,198,Prince of Wales-Hyder,Alaska,5559,55.448164,-132.560842,2_198
2,220,Sitka,Alaska,8881,57.062746,-135.337171,2_220
2,230,Skagway,Alaska,968,59.464536,-135.311501,2_230
2,240,Southeast Fairbanks,Alaska,7029,63.856185,-144.687024,2_240
2,261,Valdez-Cordova,Alaska,9636,61.261490,-145.882504,2_261
2,270,Wade Hampton,Alaska,7459,62.089902,-164.314723,2_270
2,275,Wrangell,Alaska,2369,56.385821,-132.310837,2_275
2,282,Yakutat,Alaska,662,59.547975,-139.724878,2_282
2,290,Yukon-Koyukuk,Alaska,5588,65.010262,-152.550423,2_290
4,1,Apache,Arizona,71518,35.577687,-109.414840,4_1
4,3,Cochise,Arizona,131346,31.607357,-110.063053,4_3
4,5,Coconino,Arizona,134421,35.514426,-111.590056,4_5
4,7,Gila,Arizona,53597,33.823560,-111.007494,4_7
4,9,Graham,Arizona,37220,32.867330,-109.812181,4_9
4,11,Greenlee,Arizona,8437,32.970402,-109.248712,4_11
4,12,La Paz,Arizona,20489,33.908361,-114.172146,4_12
4,13,Maricopa,Arizona,3817117,33.493403,-112.041430,4_13
4,15,Mohave,Arizona,200186,35.069679,-114.249634,4_15
4,17,Navajo,Arizona,107449,34.893625,-110.211155,4_17
4,19,Pima,Arizona,980263,32.216707,-110.960010,4_19
4,21,Pinal,Arizona,375770,33.060133,-111.588364,4_21
4,23,Santa Cruz,Arizona,47420,31.434733,-110.943195,4_23
4,25,Yavapai,Arizona,211033,34.629014,-112.267767,4_25
4,27,Yuma,Arizona,195751,32.650040,-114.598663,4_27
5,1,Arkansas,Arkansas,19019,34.405316,-91.461284,5_1
5,3,Ashley,Arkansas,21853,33.179373,-91.871360,5_3
5,5,Baxter,Arkansas,41513,36.332208,-92.383933,5_5
5,7,Benton,Arkansas,221339,36.337348,-94.230543,5_7
5,9,Boone,Arkansas,36903,36.267871,-93.099344,5_9
5,11,Bradley,Arkansas,11508,33.569321,-92.103312,5_11
5,13,Calhoun,Arkansas,5368,33.591116,-92.495555,5_13
5,15,Carroll,Arkansas,27446,36.373069,-93.570816,5_15
5,17,Chicot,Arkansas,11800,33.321860,-91.318378,5_17
5,19,Clark,Arkansas,22995,34.094705,-93.124856,5_19
5,21,Clay,Arkansas,16083,36.370695,-90.372418,5_21
5,23,Cleburne,Arkansas,25970,35.510232,-92.037481,5_23
5,25,Cleveland,Arkansas,8689,33.914989,-92.139146,5_25
5,27,Columbia,Arkansas,24552,33.258045,-93.247459,5_27
5,29,Conway,Arkansas,21273,35.214487,-92.704160,5_29
5,31,Craighead,Arkansas,96443,35.835235,-90.669325,5_31
5,33,Crawford,Arkansas,61948,35.496882,-94.284360,5_33
5,35,Crittenden,Arkansas,50902,35.177360,-90.217261,5_35
5,37,Cross,Arkansas,17870,35.252833,-90.775307,5_37
5,39,Dallas,Arkansas,8116,33.869213,-92.527123,5_39
5,41,Desha,Arkansas,13008,33.773838,-91.417485,5_41
5,43,Drew,Arkansas,18509,33.627400,-91.781779,5_43
5,45,Faulkner,Arkansas,113237,35.104918,-92.405359,5_45
5,47,Franklin,Arkansas,18125,35.446102,-93.885464,5_47
5,49,Fulton,Arkansas,12245,36.376787,-91.764934,5_49
5,51,Garland,Arkansas,96024,34.505811,-93.081852,5_51
5,53,Grant,Arkansas,17853,34.309174,-92.412714,5_53
5,55,Greene,Arkansas,42090,36.073120,-90.523016,5_55
5,57,Hempstead,Arkansas,22609,33.699647,-93.623587,5_57
5,59,Hot Spring,Arkansas,32923,34.353464,-92.894595,5_59
5,61,Howard,Arkansas,13789,33.983198,-93.910184,5_61
5,63,Independence,Arkansas,36647,35.749801,-91.607539,5_63
5,65,Izard,Arkansas,13696,36.120217,-91.908429,5_65
5,67,Jackson,Arkansas,17997,35.621102,-91.246233,5_67
5,69,Jefferson,Arkansas,77435,34.233473,-92.041179,5_69
5,71,Johnson,Arkansas,25540,35.475272,-93.475517,5_71
5,73,Lafayette,Arkansas,7645,33.287629,-93.557538,5_73
5,75,Lawrence,Arkansas,17415,36.070224,-91.065733,5_75
5,77,Lee,Arkansas,10424,34.785214,-90.774516,5_77
5,79,Lincoln,Arkansas,14134,33.975379,-91.746234,5_79
5,81,Little River,Arkansas,13171,33.700518,-94.195995,5_81
5,83,Logan,Arkansas,22353,35.227532,-93.768119,5_83
5,85,Lonoke,Arkansas,68356,34.905178,-91.970577,5_85
5,87,Madison,Arkansas,15717,36.061309,-93.755297,5_87
5,89,Marion,Arkansas,16653,36.284570,-92.663368,5_89
5,91,Miller,Arkansas,43462,33.400831,-93.987504,5_91
5,93,Mississippi,Arkansas,46480,35.842880,-89.999037,5_93
5,95,Monroe,Arkansas,8149,34.777729,-91.218021,5_95
5,97,Montgomery,Arkansas,9487,34.517013,-93.622663,5_97
5,99,Nevada,Arkansas,8997,33.722168,-93.358085,5_99
5,101,Newton,Arkansas,8330,35.984940,-93.170500,5_101
5,103,Ouachita,Arkansas,26120,33.574461,-92.838871,5_103
5,105,Perry,Arkansas,10445,34.999054,-92.779271,5_105
5,107,Phillips,Arkansas,21757,34.529768,-90.707796,5_107
5,109,Pike,Arkansas,11291,34.187298,-93.624765,5_109
5,111,Poinsett,Arkansas,24583,35.601910,-90.557998,5_111
5,113,Polk,Arkansas,20662,34.520450,-94.258519,5_113
5,115,Pope,Arkansas,61754,35.309776,-93.097238,5_115
5,117,Prairie,Arkansas,8715,34.859177,-91.536241,5_117
5,119,Pulaski,Arkansas,382748,34.773719,-92.311659,5_119
5,121,Randolph,Arkansas,17969,36.304758,-90.988420,5_121
5,123,St. Francis,Arkansas,28258,35.015313,-90.770297,5_123
5,125,Saline,Arkansas,107118,34.593233,-92.546163,5_125
5,127,Scott,Arkansas,11233,34.907145,-94.095905,5_127
5,129,Searcy,Arkansas,8195,35.922829,-92.659155,5_129
5,131,Sebastian,Arkansas,125744,35.318195,-94.354435,5_131
5,133,Sevier,Arkansas,17058,34.014236,-94.304091,5_133
5,135,Sharp,Arkansas,17264,36.178493,-91.520168,5_135
5,137,Stone,Arkansas,12394,35.856705,-92.137000,5_137
5,139,Union,Arkansas,41639,33.206870,-92.645080,5_139
5,141,Van Buren,Arkansas,17295,35.567839,-92.421475,5_141
5,143,Washington,Arkansas,203065,36.094275,-94.172222,5_143
5,145,White,Arkansas,77076,35.243736,-91.767388,5_145
5,147,Woodruff,Arkansas,7260,35.233191,-91.252079,5_147
5,149,Yell,Arkansas,22185,35.120982,-93.289460,5_149
6,1,Alameda,California,1510271,37.705201,-122.100393,6_1
6,3,Alpine,California,1175,38.728298,-119.847603,6_3
6,5,Amador,California,38091,38.394208,-120.775729,6_5
6,7,Butte,California,220000,39.669037,-121.707635,6_7
6,9,Calaveras,California,45578,38.163627,-120.633718,6_9
6,11,Colusa,California,21419,39.156148,-122.085557,6_11
6,13,Contra Costa,California,1049025,37.935588,-122.030131,6_13
6,15,Del Norte,California,28610,41.791232,-124.163088,6_15
6,17,El Dorado,California,181058,38.746543,-120.744330,6_17
6,19,Fresno,California,930450,36.738918,-119.767884,6_19
6,21,Glenn,California,28122,39.663418,-122.177491,6_21
6,23,Humboldt,California,134623,40.752982,-124.087189,6_23
6,25,Imperial,California,174528,32.841101,-115.534487,6_25
6,27,Inyo,California,18546,37.160247,-118.267513,6_27
6,29,Kern,California,839631,35.372968,-118.936004,6_29
6,31,Kings,California,152982,36.242749,-119.729084,6_31
6,33,Lake,California,64665,38.973362,-122.734609,6_33
6,35,Lassen,California,34895,40.392397,-120.579176,6_35
6,37,Los Angeles,California,9818605,34.065193,-118.244222,6_37
6,39,Madera,California,150865,37.043099,-120.006750,6_39
6,41,Marin,California,252409,37.986705,-122.547075,6_41
6,43,Mariposa,California,18251,37.542748,-119.957219,6_43
6,45,Mendocino,California,87841,39.285329,-123.397227,6_45
6,47,Merced,California,255793,37.281016,-120.623989,6_47
6,49,Modoc,California,9686,41.522584,-120.650911,6_49
6,51,Mono,California,14202,37.763322,-118.970594,6_51
6,53,Monterey,California,415057,36.611722,-121.646162,6_53
6,55,Napa,California,136484,38.329075,-122.321646,6_55
6,57,Nevada,California,98764,39.219524,-120.916546,6_57
6,59,Orange,California,3010232,33.733953,-117.862880,6_59
6,61,Placer,California,348432,38.844511,-121.182466,6_61
6,63,Plumas,California,20007,39.983857,-120.825847,6_63
6,65,Riverside,California,2189641,33.800439,-117.066205,6_65
6,67,Sacramento,California,1418788,38.568950,-121.380861,6_67
6,69,San Benito,California,55269,36.843404,-121.403859,6_69
6,71,San Bernardino,California,2035210,34.190248,-117.357474,6_71
6,73,San Diego,California,3095313,32.883260,-117.112994,6_73
6,75,San Francisco,California,805235,37.759598,-122.438323,6_75
6,77,San Joaquin,California,685306,37.931804,-121.298108,6_77
6,79,San Luis Obispo,California,269637,35.342391,-120.667689,6_79
6,81,San Mateo,California,718451,37.563950,-122.340991,6_81
6,83,Santa Barbara,California,423895,34.639262,-120.092602,6_83
6,85,Santa Clara,California,1781642,37.315105,-121.910421,6_85
6,87,Santa Cruz,California,262382,36.985171,-121.936728,6_87
6,89,Shasta,California,177223,40.580269,-122.299961,6_89
6,91,Sierra,California,3240,39.612588,-120.414236,6_91
6,93,Siskiyou,California,44900,41.576203,-122.489833,6_93
6,95,Solano,California,413344,38.235582,-122.069324,6_95
6,97,Sonoma,California,483878,38.414080,-122.720522,6_97
6,99,Stanislaus,California,514453,37.619147,-120.955577,6_99
6,101,Sutter,California,94737,39.135490,-121.644269,6_101
6,103,Tehama,California,63463,40.115187,-122.218704,6_103
6,105,Trinity,California,13786,40.681268,-123.072357,6_105
6,107,Tulare,California,442179,36.251227,-119.231547,6_107
6,109,Tuolumne,California,55365,37.971531,-120.328530,6_109
6,111,Ventura,California,823318,34.241989,-119.025018,6_111
6,113,Yolo,California,200849,38.598913,-121.721112,6_113
6,115,Yuba,California,72155,39.138830,-121.506626,6_115
8,1,Adams,Colorado,441603,39.874297,-104.927473,8_1
8,3,Alamosa,Colorado,15445,37.483069,-105.877245,8_3
8,5,Arapahoe,Colorado,572003,39.647528,-104.845968,8_5
8,7,Archuleta,Colorado,12084,37.240087,-107.085027,8_7
8,9,Baca,Colorado,3788,37.368221,-102.527089,8_9
8,11,Bent,Colorado,6499,38.072386,-103.163100,8_11
8,13,Boulder,Colorado,294567,40.063299,-105.183981,8_13
8,14,Broomfield,Colorado,55889,39.936888,-105.055491,8_14
8,15,Chaffee,Colorado,17809,38.676497,-106.082645,8_15
8,17,Cheyenne,Colorado,1836,38.816795,-102.457770,8_17
8,19,Clear Creek,Colorado,9088,39.712957,-105.529650,8_19
8,21,Conejos,Colorado,8256,37.195652,-105.989049,8_21
8,23,Costilla,Colorado,3524,37.281779,-105.448477,8_23
8,25,Crowley,Colorado,5823,38.188547,-103.857439,8_25
8,27,Custer,Colorado,4255,38.134216,-105.381557,8_27
8,29,Delta,Colorado,30952,38.798565,-107.910553,8_29
8,31,Denver,Colorado,600158,39.721430,-104.955068,8_31
8,33,Dolores,Colorado,2064,37.740817,-108.757410,8_33
8,35,Douglas,Colorado,285465,39.485270,-104.879712,8_35
8,37,Eagle,Colorado,52197,39.599453,-106.717771,8_37
8,39,Elbert,Colorado,23086,39.382868,-104.519130,8_39
8,41,El Paso,Colorado,622263,38.873669,-104.758477,8_41
8,43,Fremont,Colorado,46824,38.426058,-105.206532,8_43
8,45,Garfield,Colorado,56389,39.507561,-107.539356,8_45
8,47,Gilpin,Colorado,5441,39.857020,-105.480210,8_47
8,49,Grand,Colorado,14843,40.050388,-105.975400,8_49
8,51,Gunnison,Colorado,15324,38.657886,-106.944723,8_51
8,53,Hinsdale,Colorado,843,37.996875,-107.296530,8_53
8,55,Huerfano,Colorado,6711,37.616312,-104.884201,8_55
8,57,Jackson,Colorado,1394,40.692851,-106.291292,8_57
8,59,Jefferson,Colorado,534543,39.720524,-105.128819,8_59
8,61,Kiowa,Colorado,1398,38.470657,-102.680579,8_61
8,63,Kit Carson,Colorado,8270,39.309763,-102.435733,8_63
8,65,Lake,Colorado,7310,39.245870,-106.308061,8_65
8,67,La Plata,Colorado,51334,37.265198,-107.806184,8_67
8,69,Larimer,Colorado,299630,40.504546,-105.099218,8_69
8,71,Las Animas,Colorado,15507,37.196601,-104.503149,8_71
8,73,Lincoln,Colorado,5467,39.173232,-103.613697,8_73
8,75,Logan,Colorado,22709,40.639399,-103.187715,8_75
8,77,Mesa,Colorado,146723,39.092851,-108.543768,8_77
8,79,Mineral,Colorado,712,37.798623,-106.935586,8_79
8,81,Moffat,Colorado,13795,40.515239,-107.625859,8_81
8,83,Montezuma,Colorado,25535,37.370817,-108.557116,8_83
8,85,Montrose,Colorado,41276,38.479142,-107.934568,8_85
8,87,Morgan,Colorado,28159,40.256023,-103.781517,8_87
8,89,Otero,Colorado,18831,38.024096,-103.657432,8_89
8,91,Ouray,Colorado,4436,38.139834,-107.746232,8_91
8,93,Park,Colorado,16206,39.311718,-105.623144,8_93
8,95,Phillips,Colorado,4442,40.599517,-102.387354,8_95
8,97,Pitkin,Colorado,17148,39.232543,-106.907765,8_97
8,99,Prowers,Colorado,12551,38.083772,-102.547035,8_99
8,101,Pueblo,Colorado,159063,38.263685,-104.645147,8_101
8,103,Rio Blanco,Colorado,6666,40.051033,-108.280174,8_103
8,105,Rio Grande,Colorado,11982,37.616658,-106.238805,8_105
8,107,Routt,Colorado,23509,40.453133,-106.899535,8_107
8,109,Saguache,Colorado,6108,37.915302,-106.019489,8_109
8,111,San Juan,Colorado,699,37.804646,-107.673989,8_111
8,113,San Miguel,Colorado,7359,37.974202,-107.960034,8_113
8,115,Sedgwick,Colorado,2379,40.960246,-102.327670,8_115
8,117,Summit,Colorado,27994,39.573131,-106.054579,8_117
8,119,Teller,Colorado,23350,38.943550,-105.140532,8_119
8,121,Washington,Colorado,4814,40.092526,-103.156814,8_121
8,123,Weld,Colorado,252825,40.328082,-104.788507,8_123
8,125,Yuma,Colorado,10043,40.069473,-102.486935,8_125
9,1,Fairfield,Connecticut,916829,41.207889,-73.364521,9_1
9,3,Hartford,Connecticut,894014,41.761943,-72.717282,9_3
9,5,Litchfield,Connecticut,189927,41.727851,-73.187494,9_5
9,7,Middlesex,Connecticut,165676,41.478564,-72.571408,9_7
9,9,New Haven,Connecticut,862477,41.396052,-72.941497,9_9
9,11,New London,Connecticut,274055,41.443373,-72.097683,9_11
9,13,Tolland,Connecticut,152691,41.842762,-72.372090,9_13
9,15,Windham,Connecticut,118428,41.804225,-71.995072,9_15
10,1,Kent,Delaware,162310,39.123220,-75.558604,10_1
10,3,New Castle,Delaware,538479,39.685020,-75.634376,10_3
10,5,Sussex,Delaware,197145,38.662387,-75.346649,10_5
11,1,District of Columbia,District of Columbia,601723,38.910270,-77.014468,11_1
12,1,Alachua,Florida,247336,29.665903,-82.386845,12_1
12,3,Baker,Florida,27115,30.288432,-82.185477,12_3
12,5,Bay,Florida,168852,30.206925,-85.660217,12_5
12,7,Bradford,Florida,28520,29.953429,-82.128192,12_7
12,9,Brevard,Florida,543376,28.232195,-80.690979,12_9
12,11,Broward,Florida,1748066,26.134058,-80.227135,12_11
12,13,Calhoun,Florida,14625,30.463143,-85.122189,12_13
12,15,Charlotte,Florida,159978,26.954793,-82.119946,12_15
12,17,Citrus,Florida,141236,28.863598,-82.453512,12_17
12,19,Clay,Florida,190865,30.084386,-81.799410,12_19
12,21,Collier,Florida,321520,26.199831,-81.699625,12_21
12,23,Columbia,Florida,67531,30.126051,-82.660566,12_23
12,27,DeSoto,Florida,34862,27.189369,-81.864094,12_27
12,29,Dixie,Florida,16422,29.634179,-83.056329,12_29
12,31,Duval,Florida,864263,30.300302,-81.622853,12_31
12,33,Escambia,Florida,297619,30.485314,-87.274788,12_33
12,35,Flagler,Florida,95696,29.523494,-81.224735,12_35
12,37,Franklin,Florida,11549,29.786787,-84.822838,12_37
12,39,Gadsden,Florida,46389,30.598280,-84.581397,12_39
12,41,Gilchrist,Florida,16939,29.704639,-82.808262,12_41
12,43,Glades,Florida,12884,26.896029,-81.185404,12_43
12,45,Gulf,Florida,15863,29.988579,-85.259478,12_45
12,47,Hamilton,Florida,14799,30.501534,-82.997218,12_47
12,49,Hardee,Florida,27731,27.548312,-81.815432,12_49
12,51,Hendry,Florida,39140,26.705392,-81.202571,12_51
12,53,Hernando,Florida,172778,28.504850,-82.496961,12_53
12,55,Highlands,Florida,98786,27.460415,-81.442555,12_55
12,57,Hillsborough,Florida,1229226,27.976529,-82.401275,12_57
12,59,Holmes,Florida,19927,30.847684,-85.758558,12_59
12,61,Indian River,Florida,138028,27.671827,-80.440581,12_61
12,63,Jackson,Florida,49746,30.800240,-85.216119,12_63
12,65,Jefferson,Florida,14761,30.504031,-83.886291,12_65
12,67,Lafayette,Florida,8870,30.065418,-83.179508,12_67
12,69,Lake,Florida,297052,28.735689,-81.752026,12_69
12,71,Lee,Florida,618754,26.574992,-81.858144,12_71
12,73,Leon,Florida,275487,30.466103,-84.270371,12_73
12,75,Levy,Florida,40801,29.379995,-82.666319,12_75
12,77,Liberty,Florida,8365,30.399795,-84.905169,12_77
12,79,Madison,Florida,19224,30.472630,-83.430563,12_79
12,81,Manatee,Florida,322833,27.477054,-82.532775,12_81
12,83,Marion,Florida,331298,29.140116,-82.123367,12_83
12,85,Martin,Florida,146318,27.144300,-80.244395,12_85
12,86,Miami-Dade,Florida,2496435,25.774565,-80.298888,12_86
12,87,Monroe,Florida,73090,24.739678,-81.263945,12_87
12,89,Nassau,Florida,73314,30.607962,-81.647153,12_89
12,91,Okaloosa,Florida,180822,30.542829,-86.567105,12_91
12,93,Okeechobee,Florida,39996,27.272057,-80.822153,12_93
12,95,Orange,Florida,1145956,28.532855,-81.384377,12_95
12,97,Osceola,Florida,268685,28.266765,-81.383484,12_97
12,99,Palm Beach,Florida,1320134,26.617075,-80.146119,12_99
12,101,Pasco,Florida,464697,28.261606,-82.516080,12_101
12,103,Pinellas,Florida,916542,27.899794,-82.727651,12_103
12,105,Polk,Florida,602095,28.031140,-81.799975,12_105
12,107,Putnam,Florida,74364,29.609299,-81.720431,12_107
12,109,St. Johns,Florida,190039,29.977088,-81.421504,12_109
12,111,St. Lucie,Florida,277789,27.338067,-80.353183,12_111
12,113,Santa Rosa,Florida,151372,30.549593,-87.036954,12_113
12,115,Sarasota,Florida,379448,27.208205,-82.423893,12_115
12,117,Seminole,Florida,422718,28.697834,-81.310445,12_117
12,119,Sumter,Florida,93420,28.825768,-82.035469,12_119
12,121,Suwannee,Florida,41551,30.214688,-82.987546,12_121
12,123,Taylor,Florida,22570,30.064881,-83.597967,12_123
12,125,Union,Florida,15535,30.010768,-82.356919,12_125
12,127,Volusia,Florida,494593,29.073725,-81.123944,12_127
12,129,Wakulla,Florida,30776,30.185525,-84.331546,12_129
12,131,Walton,Florida,55043,30.583729,-86.190665,12_131
12,133,Washington,Florida,24896,30.650718,-85.625419,12_133
13,1,Appling,Georgia,18236,31.773880,-82.338473,13_1
13,3,Atkinson,Georgia,8375,31.317301,-82.886363,13_3
13,5,Bacon,Georgia,11096,31.547221,-82.466071,13_5
13,7,Baker,Georgia,3451,31.307754,-84.437989,13_7
13,9,Baldwin,Georgia,45720,33.084849,-83.245659,13_9
13,11,Banks,Georgia,18395,34.351255,-83.506647,13_11
13,13,Barrow,Georgia,69367,33.993054,-83.727500,13_13
13,15,Bartow,Georgia,100157,34.208435,-84.829122,13_15
13,17,Ben Hill,Georgia,17634,31.727638,-83.248636,13_17
13,19,Berrien,Georgia,19286,31.238588,-83.252459,13_19
13,21,Bibb,Georgia,155547,32.832049,-83.687184,13_21
13,23,Bleckley,Georgia,13063,32.401368,-83.332140,13_23
13,25,Brantley,Georgia,18411,31.216648,-81.969970,13_25
13,27,Brooks,Georgia,16243,30.842082,-83.540090,13_27
13,29,Bryan,Georgia,30233,31.979537,-81.375954,13_29
13,31,Bulloch,Georgia,70217,32.417702,-81.762420,13_31
13,33,Burke,Georgia,23316,33.101987,-81.998447,13_33
13,35,Butts,Georgia,23655,33.296102,-83.970002,13_35
13,37,Calhoun,Georgia,6694,31.527412,-84.668445,13_37
13,39,Camden,Georgia,50513,30.814165,-81.635079,13_39
13,43,Candler,Georgia,10998,32.399861,-82.062305,13_43
13,45,Carroll,Georgia,110527,33.622193,-85.044673,13_45
13,47,Catoosa,Georgia,63942,34.927795,-85.172820,13_47
13,49,Charlton,Georgia,12171,30.780002,-82.023033,13_49
13,51,Chatham,Georgia,265128,32.036008,-81.126449,13_51
13,53,Chattahoochee,Georgia,11267,32.344231,-84.899254,13_53
13,55,Chattooga,Georgia,26015,34.495509,-85.344167,13_55
13,57,Cherokee,Georgia,214346,34.169606,-84.496595,13_57
13,59,Clarke,Georgia,116714,33.950406,-83.380863,13_59
13,61,Clay,Georgia,3183,31.633549,-85.013368,13_61
13,63,Clayton,Georgia,259424,33.553383,-84.362238,13_63
13,65,Clinch,Georgia,6798,31.017888,-82.740932,13_65
13,67,Cobb,Georgia,688078,33.943254,-84.557878,13_67
13,69,Coffee,Georgia,42356,31.516000,-82.840667,13_69
13,71,Colquitt,Georgia,45498,31.180955,-83.768671,13_71
13,73,Columbia,Georgia,124053,33.516220,-82.165654,13_73
13,75,Cook,Georgia,17212,31.149847,-83.424499,13_75
13,77,Coweta,Georgia,127317,33.379117,-84.736399,13_77
13,79,Crawford,Georgia,12630,32.707681,-83.934002,13_79
13,81,Crisp,Georgia,23439,31.947962,-83.777791,13_81
13,83,Dade,Georgia,16633,34.882709,-85.497004,13_83
13,85,Dawson,Georgia,22330,34.401380,-84.104119,13_85
13,87,Decatur,Georgia,27842,30.888345,-84.570360,13_87
13,89,DeKalb,Georgia,691893,33.789813,-84.248029,13_89
13,91,Dodge,Georgia,21796,32.212815,-83.175591,13_91
13,93,Dooly,Georgia,14918,32.167580,-83.784195,13_93
13,95,Dougherty,Georgia,94565,31.573426,-84.167625,13_95
